name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people)
Jalsa,Yes,Yes,4.1/5,775,Banashankari,Casual Dining,"North Indian, Mughlai, Chinese",₹ 800.00
Spice Elephant,Yes,No,4.1/5,787,Banashankari,Casual Dining,"Chinese, North Indian, Thai",₹ 800.00
San Churro Cafe,Yes,No,3.8/5,918,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",₹ 800.00
Addhuri Udupi Bhojana,No,No,3.7/5,88,Banashankari,Quick Bites,"South Indian, North Indian",₹ 300.00
Grand Village,No,No,3.8/5,166,Basavanagudi,Casual Dining,"North Indian, Rajasthani",₹ 600.00
Timepass Dinner,Yes,No,3.8/5,286,Basavanagudi,Casual Dining,North Indian,₹ 600.00
Rosewood International Hotel - Bar & Restaurant,No,No,3.6/5,8,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",₹ 800.00
Onesta,Yes,Yes,4.6/5,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",₹ 600.00
Penthouse Cafe,Yes,No,4.0/5,324,Banashankari,Cafe,"Cafe, Italian, Continental",₹ 700.00
Smacznego,Yes,No,4.2/5,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",₹ 550.00
Cafe Shuffle,Yes,Yes,4.2/5,150,Banashankari,Cafe,"Cafe, Italian, Continental",₹ 600.00
The Coffee Shack,Yes,Yes,4.2/5,164,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",₹ 500.00
Caf-Eleven,No,No,4.0/5,424,Banashankari,Cafe,"Cafe, Continental",₹ 450.00
San Churro Cafe,Yes,No,3.8/5,918,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",₹ 800.00
Cafe Vivacity,Yes,No,3.8/5,90,Banashankari,Cafe,Cafe,₹ 650.00
Catch-up-ino,Yes,No,3.9/5,133,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",₹ 800.00
Kirthi's Biryani,Yes,No,3.8/5,144,Banashankari,Cafe,"Chinese, Cafe, Italian",₹ 700.00
T3H Cafe,No,No,3.9/5,93,Banashankari,Cafe,"Cafe, Italian, American",₹ 300.00
360 Atoms Restaurant And Cafe,Yes,No,3.1/5,13,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",₹ 400.00
The Vintage Cafe,Yes,No,3.0/5,62,Banashankari,Cafe,"Cafe, French, North Indian",₹ 400.00
Woodee Pizza,Yes,No,3.7/5,180,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",₹ 500.00
Cafe Coffee Day,No,No,3.6/5,28,Banashankari,Cafe,"Cafe, Fast Food",₹ 900.00
My Tea House,Yes,No,3.6/5,62,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",₹ 600.00
Hide Out Cafe,No,No,3.7/5,31,Banashankari,Cafe,Cafe,₹ 300.00
CAFE NOVA,No,No,3.2/5,11,Banashankari,Cafe,"Cafe, Bakery",₹ 600.00
Coffee Tindi,Yes,No,3.8/5,75,Banashankari,"Cafe, Quick Bites","Cafe, South Indian",₹ 200.00
Sea Green Cafe,No,No,3.3/5,4,Banashankari,Cafe,"Cafe, Fast Food, Beverages",₹ 500.00
Cuppa,No,No,3.3/5,23,Banashankari,Cafe,"Cafe, Fast Food",₹ 550.00
Srinathji's Cafe,No,No,3.8/5,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",₹ 550.00
Redberrys,Yes,No,4.0/5,219,Basavanagudi,Cafe,"Cafe, Italian",₹ 600.00
Foodiction,Yes,No,2.8/5,506,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",₹ 500.00
Sweet Truth,Yes,No,3.9/5,35,Banashankari,Delivery,"Bakery, Desserts",₹ 500.00
Ovenstory Pizza,Yes,No,3.9/5,172,Banashankari,Delivery,Pizza,₹ 750.00
Faasos,Yes,No,4.2/5,415,Banashankari,Quick Bites,"North Indian, Biryani, Fast Food",₹ 500.00
Behrouz Biryani,Yes,No,3.9/5,230,Banashankari,Delivery,Biryani,₹ 650.00
Fast And Fresh,Yes,No,2.8/5,91,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",₹ 400.00
Szechuan Dragon,Yes,No,4.2/5,1647,Banashankari,Casual Dining,"Chinese, Thai, Momos",₹ 600.00
Empire Restaurant,Yes,No,4.4/5,4884,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",₹ 750.00
Maruthi Davangere Benne Dosa,Yes,No,4.0/5,17,Banashankari,Quick Bites,South Indian,₹ 150.00
Chaatimes,Yes,No,3.8/5,133,Basavanagudi,Quick Bites,"Street Food, Fast Food",₹ 200.00
Havyaka Mess,No,No,3.9/5,28,Banashankari,Mess,South Indian,₹ 300.00
McDonald's,Yes,No,3.9/5,286,Banashankari,Quick Bites,"Burger, Fast Food",₹ 500.00
Domino's Pizza,Yes,No,3.9/5,540,Banashankari,Quick Bites,"Pizza, Fast Food",₹ 800.00
Onesta,Yes,Yes,4.6/5,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",₹ 600.00
Hotboxit,No,No,3.8/5,36,Banashankari,Delivery,"North Indian, Continental, Italian",₹ 400.00
Kitchen Garden,Yes,No,3.6/5,244,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",₹ 300.00
Recipe,Yes,No,4.0/5,804,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Rolls",₹ 450.00
Beijing Bites,Yes,No,3.7/5,679,Rajarajeshwari Nagar,Casual Dining,"Chinese, Thai",₹ 850.00
Tasty Bytes,Yes,No,3.1/5,245,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Momos, Rolls",₹ 300.00
Petoo,No,No,3.7/5,21,Banashankari,Quick Bites,North Indian,₹ 450.00
Shree Cool Point,Yes,No,4.1/5,28,Vijay Nagar,Quick Bites,"Fast Food, Street Food, Beverages",₹ 150.00
Corner House Ice Cream,No,No,4.3/5,345,Banashankari,Dessert Parlor,"Ice Cream, Desserts",₹ 400.00
Biryanis And More,Yes,No,4.0/5,618,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",₹ 750.00
Roving Feast,No,No,4.0/5,1047,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",₹ 450.00
FreshMenu,Yes,No,3.9/5,627,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",₹ 450.00
Banashankari Donne Biriyani,Yes,No,3.8/5,104,Banashankari,Quick Bites,"Biryani, Fast Food",₹ 300.00
Wamama,Yes,Yes,4.2/5,354,Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",₹ 800.00
Five Star Chicken,No,No,3.6/5,55,Banashankari,Quick Bites,"Fast Food, Burger",₹ 200.00
XO Belgian Waffle,Yes,No,3.7/5,17,Banashankari,Dessert Parlor,"Desserts, Beverages",₹ 400.00
Peppy Peppers,No,No,4.2/5,244,Banashankari,Casual Dining,"Italian, North Indian, Mexican",₹ 800.00
Goa 0 Km,Yes,Yes,3.6/5,163,Kumaraswamy Layout,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",₹ 800.00
Chinese Kitchen,Yes,No,3.8/5,58,Basavanagudi,Quick Bites,Chinese,₹ 150.00
1947,No,Yes,4.0/5,808,Banashankari,Casual Dining,"North Indian, Chinese",₹ 850.00
Cake of the Day,No,No,3.7/5,78,Banashankari,"Bakery, Dessert Parlor",Bakery,₹ 150.00
Kabab Magic,Yes,No,4.1/5,1720,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",₹ 400.00
Namma Brahmin's Idli,Yes,No,3.6/5,34,Jayanagar,Quick Bites,South Indian,₹ 100.00
Gustoes Beer House,No,No,4.1/5,868,Banashankari,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak","₹ 1,200.00"
Sugar Rush,No,No,3.8/5,39,Banashankari,Bakery,"Bakery, Desserts",₹ 300.00
Burger King,Yes,No,3.2/5,71,Basavanagudi,Quick Bites,"Burger, Fast Food, Beverages",₹ 600.00
